"Reference","Qty","Value","Taobao"
"C1,C6","2","1000u 50V (E)","https://item.taobao.com/item.htm?id=522579424493&spm=a312a.7700824.w4002-24706531953.16.3bd26a4bk63G7C&skuId=4292850932858"
"C2,C3,C9","3","0.1u 50V 1206 (C)","https://item.taobao.com/item.htm?id=522554243102&spm=a312a.7700824.w4002-24706531953.17.fe606a4bCNR8e2"
"C4","1","100n 50V 1206 (C)","https://item.taobao.com/item.htm?id=522554243102&spm=a312a.7700824.w4002-24706531953.17.fe606a4bCNR8e2"
"C5,C7","2","470u 50V (E)","https://item.taobao.com/item.htm?id=565000050337&spm=a312a.7700824.w4002-24706531953.34.74926a4bMb6XJ9&skuId=4839680676732"
"C8","1","100u 50V (E)","https://item.taobao.com/item.htm?id=564996742055&skuId=5731925888317&spm=a312a.7700824.w4002-24706531953.48.53e36a4bPL94Ez"
"D1","1","14.7V","https://item.taobao.com/item.htm?abbucket=6&id=695101953366&mi_id=0000Lj0OrKckmNDEqR02yqyVvRgOOdZIw3nrKlq8ddxx11c&ns=1&priceTId=2100c90b17757005854525767e0ce4&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22af7c8d7f05a54f7247d12edd0880722e%22%7D&xxc=taobaoSearch"
"D2","1","SK1010C","https://item.taobao.com/item.htm?id=661190438436&spm=a312a.7700824.w4002-24706531953.9.2afd6a4bd02hmB"
"D3","1","SMAJ6.0A","https://item.taobao.com/item.htm?id=626801460817&spm=a312a.7700824.w4002-24706531953.11.f2136a4bZAuDdV"
"D4,D5,D6,D7","4","Green 0805","https://item.taobao.com/item.htm?id=522554271548&spm=a312a.7700824.w4002-24706531953.9.89b16a4bc8cz26&skuId=5766142345201"
"F1","1","15A","https://item.taobao.com/item.htm?id=646550973988&mi_id=0000hkOXLK6LXxrt8MuhFgx5nmmx4QMgDYVCkCBzS87gLwo&spm=a1z02.1.item.goods&upStreamPrice=131&skuId=5317343647485"
"F2","1","5A 1812","https://detail.tmall.com/item.htm?id=680110340340&mi_id=00009EciOyjc6Drfij7Zhm_RBxhJA-L8I_GbZHa-LgE8aSc&spm=a21xtw.29978518.0.0&xxc=shop&skuId=5053061151671"
"J1","1","XT60-M","https://item.taobao.com/item.htm?from=cart&id=635227665423&skuId=4544457080563&spm=a1z0d.6639537%2F202410.item.d635227665423.61d47484pd6qiZ&upStreamPrice=247"
"J2","1","Raspberry Pi 5","https://item.taobao.com/item.htm?id=522576768218&skuId=3150252041904&spm=a312a.7700824.w4002-24706531953.11.6e696a4b4Fo0oQ"
"J3,J5","2","XT30-F","https://item.taobao.com/item.htm?from=cart&id=635227665423&skuId=4544457080563&spm=a1z0d.6639537%2F202410.item.d635227665423.61d47484pd6qiZ&upStreamPrice=247"
"J4,J6","2","XT30-M","https://item.taobao.com/item.htm?from=cart&id=635227665423&skuId=4544457080563&spm=a1z0d.6639537%2F202410.item.d635227665423.61d47484pd6qiZ&upStreamPrice=247"
"J7,J8,J9,J10","4","2.54mm 3P","https://item.taobao.com/item.htm?id=522579376259&skuId=6139961763384&spm=a312a.7700824.w4002-24706531953.22.42da6a4bqA4QC4"
"J11,J12,J13,J14,J15,J16","6","2.54mm 5P Terminal Block","https://item.taobao.com/item.htm?id=642057328277&skuId=4619071856328&spm=a312a.7700824.w4002-24706531953.9.616f6a4bcbuCcZ"
"J17,J18,J19,J20,J21,J22","6","JST-SH 3P","https://item.taobao.com/item.htm?abbucket=6&id=616913039189&mi_id=0000CINM6fQlWxBPwfEVanu8A4ZALhVpBWr_o-w42mZaXB0&ns=1&priceTId=2100c87a17757031823796394e0ce4&skuId=4519649839251&spm=a21n57.1.hoverItem.16&utparam=%7B%22aplus_abtest%22%3A%2261aff122d9b2cc3c670b9c37faec7cbb%22%7D&xxc=taobaoSearch"
"Q1","1","NCE15P25JK","https://item.taobao.com/item.htm?from=cart&id=810052647977&mi_id=00001JnI_zl0BhNbU2YRFb2aA2g1fvrELgzyQ3utzNHnIh0&spm=a1z0d.6639537%2F202410.item.d810052647977.78f87484zlsDKq&upStreamPrice=155"
"R1,R2","2","100k 0805 1%","https://item.taobao.com/item.htm?abbucket=6&id=526088038633&mi_id=0000q5zCw4I_QUXJVswnTH2BCqP9cCjS9eNQiprow5GiVcM&ns=1&priceTId=2100c82b17757027947041611e0cfc&skuId=5872598103670&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%2261527eb7f1566141d073add8ed969151%22%7D&xxc=taobaoSearch"
"R3","1","13.3k 0805 1%","https://item.taobao.com/item.htm?abbucket=6&id=526088038633&mi_id=0000q5zCw4I_QUXJVswnTH2BCqP9cCjS9eNQiprow5GiVcM&ns=1&priceTId=2100c82b17757027947041611e0cfc&skuId=5872598103774&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%2261527eb7f1566141d073add8ed969151%22%7D&xxc=taobaoSearch"
"R4,R5,R6,R7,R8,R9","6","470R 0805","https://item.taobao.com/item.htm?id=522573121620&skuId=5702455484812&spm=pc_detail.30350276.guessitem.d1"
"TP1,TP2,TP3,TP4,TP5,TP6","6","TestPoint",""
"U1","1","3.2~32V -> 5.1V 5A","https://item.taobao.com/item.htm?id=530479908999&spm=a312a.7700824.w4002-24706531953.9.7b616a4bxUdhPX"
